Texto;Impacto
RT @sallyeaves: Supporting expanded deployment of #cleanenergy #tech & addressing challenges negating #climatetech growth from #value #SupplyChain to #Finance \n https://t.co/5bPgBMGvE7 @RockyMtnInst \n #TechNews #climate #energy #SDGs #SOLAR @ShiCooks \n @Stevewal63 #SaturdayMorning #Sustainability https://t.co/RDcG6x9uo7;70.49
RT @sallyeaves: Great opp #UK #schools ? \n Over 150 Free #Digital events to help turn #Curiosity into #climate commitments ? \n See #YouthClimateSummit2020 bringing #environmental action to #classroom \n ?9-13 Nov https://t.co/dMcf0L9vOK \n #sustainable #education #SDGs #TeachersPLN #SaturdayThoughts https://t.co/mgkikj43xe;69.82
RT @moingshaikh: Great opportunity for UK schools children. \n \n With 150+ digital events, help students turn their curiosity int9 #climate commitment. \n \n CC: @zarah_khan01 @MarineGOfficial @saradefloresx @andreea_g2011M \n \n #ClimateAction #SDGs https://t.co/liSnZM7QtR;69.82
RT @sallyeaves: Role of #environmental social & #Governance or #ESG for businesses to help do their part to make the world a better place ? Excellent post @unisyscorp covering #transparency & measurement too https://t.co/7Hj1kB55vq #Sustainability #CSR #SDGs #TechForGood #Finance \n #TechNews https://t.co/mLY4vxbcbF;69.81
RT @AngelaNgendo: #SDGs goal on quality health and wellbeing call is simple every part of population is crucial on the achievement of universal health care. Let?s normalise conversation on health Taboos today ?@ntvkenya? from 5pm EAT@ https://t.co/JKEP73vrOm;69.8
RT @ECA_OFFICIAL: #Energy is the cornerstone of #Africa?s recovery from #COVID19, @ECA_OFFICIAL?s @AdamJeanPaul tells #African Ambassadors during presentation on #greenrecovery for #African resilience post the pandemic. #renewableenergy #solarenergy #gas #ClimateChange #BuildForwardBetter #SDGs https://t.co/qTu8nDVBYU;69.75
RT @SDG2030: ??THANK YOU ?? @ZiauddinY for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/cSs1Fg42lO;69.52
RT @AidiWafa: #COVID19 and migrant #remittances: Supporting this essential lifeline under threat, key facts \n Our last contribution @BrookingsGlobal #SDGs ??https://t.co/Je0CFHnrW3 \n @ECA_OFFICIAL @ONUmigration @IOMROWCA @IOMatAU @IOMEthiopia @UNmigration @BrookingsEcon @cnbcafrica @snkaringi https://t.co/qd5ZiXYKDX;69.37
RT @NextBillion: Analysis Via @GlblCtzn: Keeping Girls in School Is Worth Billions To Developing Nations: \n \n https://t.co/ZQjxdXwnvM \n \n #SDGs #Coronavirus #Sustainability #Education https://t.co/P5G08NBt4J;69.35
RT @JointSDGFund: It?s #InvestmentMonth & we?re highlighting innovative financing schemes for agriculture & food security?? in #Mexico \n \n Check out our #SDGInvest website for our work in #SDGFinancing and information & opportunities for investing in the #SDGs? https://t.co/RJu5hZGc4m #Fin4Dev https://t.co/hvkpxr4Ny0;69.03
RT @CITiZAN1: #HumberDiscovery had a great few days in #Cleethorpes last week as part of #FestivalOfArchaeology and #backandfill. Our app workshops added masses of new data to our online map too https://t.co/BXghiP23h1 @BirdhouseT @DiscoverNEL @archaeologyuk #lovecleethorpes #CitizenScience https://t.co/PwfKx6IuzU;68.89
RT @JapanMissionVie: ????? @UNIDO???????????????????????(??)?????web?????#SDGs ??????????????????????????????????????????????? \n \n https://t.co/UrafZLktX1 https://t.co/g1KpUs9cH1;68.4
RT @arikring: @dotcommodity @Totalrecoverys1 @THEnergyNet @AmazingChevVolt @Jackthelad1947 @mwt2008 @FSS_Tech @ProfRayWills @kashthefuturist @Paula_Piccard @HansLak @charluv2011 @kirillklip @seth_leitman @ShiCooks @ProfStrachan @NormanBuffong @debraruh @Sustainablehero @StopAdaniCairns @stracma @jellsmoor @cberrl @ristori20 @mzjacobson @rjbluesky @pegb_ @1CaptD @rmancillar @01000011CS @NoFascis...;68.23
RT @mvollmer1: Today, #Solar power is generating the cheapest #energy in history via @wef \n MT @Nicochan33 \n \n cc @TomRaftery @Hal_Good @JamesMarland \n @SupplyChain2030 @ProcurementStar @DrJDrooghaag \n \n #Sustainability #GreenNewDeal #ActOnClimate #SDGs #solarenergy #renewableenergy https://t.co/NYBmxTz9vP;68.23
RT @insight_centre: RTs welcome! Our Citizen Science Project @Crowd4Access needs you! They will be running some mapping workshops during Science Week and they are looking for participants. All details in the link! https://t.co/ULqgMdSH0O @UCC @nuigalway @ucddublin @DCU @scienceirel #citizenscience;68.18
RT @UNDP: Getting back to ?normal? after the pandemic simply isn?t possible, because ?normal? got us to where we are today. Our @UlrikaModeer ? the ? bt. climate change, inequalities, governance, & #SDGs to #BuildForwardBetter. Read @UNANCA?s blog for more. https://t.co/SkmBWacbTn;67.97
RT @SDG2030: ??THANK YOU ?? @IsabelStMalo for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/DpkhcGJLBI;67.97
RT @debraruh: Join @ilo #GBDN & @RuhGlobal for a free global #webinar. #BlackLivesMatter & the #Intersectionality of #Disabilities. \n \n @LaMondre_P, @heatherbuilds w/ @microsoft, Kimberly Bradshaw Archibald w/ @HuaweiUSA #RuhGlobal #GBDN2020 #disabilitytwitter #AXSChat #SDGs @Huawei @debraruh https://t.co/PiiWsgsvam;67.6
RT @HaroldSinnott: Immigrants have a history of winning Nobel #science awards \n \n @wef \n https://t.co/B3Bo2kd7sh \n \n #science #migration #NobelPrize #technology #SDGs \n \n cc @GlenGilmore @kkruse @psb_dc @jblefevre60 @chboursin @Fabriziobustama @digitalcloudgal @labordeolivier @sebbourguignon @JGrobicki https://t.co/Eobhezdvro;67.58
RT @InterFM897_Lazy: ?Future Design? \n SDGs?????????????????????????????????SDGs???????????????????????????? \n \n ??????????????????????? \n ???????????lazy@interfm.jp???? \n \n #lazy897 \n #sdgs;67.52
